[2024-09-03 18:20:47.640] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:47.640] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:47.640] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:47.648] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:47.715] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:47.715] [info] odom: [x 2.3279, y -14.2726, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:47.778] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:47.779] [info] odom: [x 2.3279, y -14.2726, yaw 0.0869] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:47.824] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:47.825] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:47.855] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:47.901] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:47.954] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:47.991] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.021] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.075] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.088] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.134] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.148] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.226] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.254] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.254] [info] odom: [x 2.3279, y -14.2725, yaw 0.0872] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.285] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.316] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.331] [info] odom: [x 2.3279, y -14.2725, yaw 0.0870] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.365] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.365] [info] odom: [x 2.3279, y -14.2725, yaw 0.0872] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.398] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.423] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.425] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.445] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.465] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.486] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.522] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
[2024-09-03 18:20:48.527] [info] odom: [x 2.3279, y -14.2725, yaw 0.0871] vel: [v 0.0000, w 0.0000] estimate: [x 0.0000, y 0.0000, yaw 0.0000] encoder: [x -4.0787, y -18.6831, yaw 1.9821]
