[2024-09-04 10:08:49.265] [info] odom: [x 1.1122, y -13.4352, yaw 2.9810] vel: [v 0.0000, w 0.5000] estimate: [x 6.9232, y -15.0168, yaw 3.0367] encoder: [x -2.7521, y -13.5647, yaw -2.1861]
[2024-09-04 10:08:49.265] [info] odom: [x 1.1121, y -13.4351, yaw 2.9907] vel: [v 0.0000, w 0.5000] estimate: [x 6.9232, y -15.0168, yaw 3.0367] encoder: [x -2.7521, y -13.5647, yaw -2.1861]
[2024-09-04 10:08:49.265] [info] odom: [x 1.1120, y -13.4351, yaw 2.9997] vel: [v 0.0000, w 0.5000] estimate: [x 6.9232, y -15.0168, yaw 3.0367] encoder: [x -2.7521, y -13.5647, yaw -2.1861]
[2024-09-04 10:08:49.265] [info] odom: [x 1.1119, y -13.4351, yaw 3.0090] vel: [v 0.0000, w 0.5000] estimate: [x 6.9232, y -15.0168, yaw 3.0367] encoder: [x -2.7521, y -13.5647, yaw -2.1861]
[2024-09-04 10:08:49.265] [info] odom: [x 1.1118, y -13.4350, yaw 3.0206] vel: [v 0.0000, w 0.5000] estimate: [x 6.9232, y -15.0168, yaw 3.0367] encoder: [x -2.7521, y -13.5647, yaw -2.1861]
[2024-09-04 10:08:49.265] [info] odom: [x 1.1118, y -13.4350, yaw 3.0283] vel: [v 0.0000, w 0.5000] estimate: [x 6.9232, y -15.0168, yaw 3.0367] encoder: [x -2.7521, y -13.5647, yaw -2.1861]
[2024-09-04 10:08:49.266] [info] odom: [x 1.1117, y -13.4351, yaw 3.0382] vel: [v 0.0000, w 0.5000] estimate: [x 6.9232, y -15.0168, yaw 3.0367] encoder: [x -2.7521, y -13.5647, yaw -2.1861]
[2024-09-04 10:08:49.266] [info] odom: [x 1.1117, y -13.4351, yaw 3.0479] vel: [v 0.0000, w 0.5000] estimate: [x 6.9232, y -15.0168, yaw 3.0367] encoder: [x -2.7521, y -13.5647, yaw -2.1861]
[2024-09-04 10:08:49.266] [info] odom: [x 1.1117, y -13.4351, yaw 3.0581] vel: [v 0.0000, w 0.5000] estimate: [x 6.9232, y -15.0168, yaw 3.0367] encoder: [x -2.7521, y -13.5647, yaw -2.1861]
[2024-09-04 10:08:49.266] [info] odom: [x 1.1117, y -13.4351, yaw 3.1092] vel: [v 0.0000, w 0.5000] estimate: [x 6.9232, y -15.0168, yaw 3.0367] encoder: [x -2.7521, y -13.5647, yaw -2.1861]
[2024-09-04 10:08:49.277] [info] odom: [x 1.1117, y -13.4351, yaw 3.1182] vel: [v 0.0000, w 0.5000] estimate: [x 6.9232, y -15.0168, yaw 3.0367] encoder: [x -2.7521, y -13.5647, yaw -2.1861]
[2024-09-04 10:08:49.301] [info] odom: [x 1.1117, y -13.4351, yaw 3.1290] vel: [v 0.0000, w 0.5000] estimate: [x 6.9212, y -15.0150, yaw 3.1350] encoder: [x -2.7521, y -13.5647, yaw -2.1783]
[2024-09-04 10:08:49.315] [info] odom: [x 1.1117, y -13.4351, yaw 3.1382] vel: [v 0.0000, w 0.5000] estimate: [x 6.9212, y -15.0150, yaw 3.1350] encoder: [x -2.7521, y -13.5647, yaw -2.1783]
[2024-09-04 10:08:49.316] [info] odom: [x 1.1117, y -13.4351, yaw -3.1315] vel: [v 0.0000, w 0.5000] estimate: [x 6.9212, y -15.0150, yaw 3.1350] encoder: [x -2.7516, y -13.5640, yaw -2.1668]
[2024-09-04 10:08:49.355] [info] odom: [x 1.1117, y -13.4351, yaw -3.1248] vel: [v 0.0000, w 0.5000] estimate: [x 6.9185, y -15.0129, yaw -3.0594] encoder: [x -2.7521, y -13.5648, yaw -2.1550]
[2024-09-04 10:08:49.356] [info] odom: [x 1.1117, y -13.4351, yaw -3.1146] vel: [v 0.0000, w 0.5000] estimate: [x 6.9185, y -15.0129, yaw -3.0594] encoder: [x -2.7521, y -13.5648, yaw -2.1472]
[2024-09-04 10:08:49.371] [info] odom: [x 1.1117, y -13.4351, yaw -3.1048] vel: [v 0.0000, w 0.5000] estimate: [x 6.9179, y -15.0125, yaw -3.0441] encoder: [x -2.7516, y -13.5640, yaw -2.1361]
[2024-09-04 10:08:49.388] [info] odom: [x 1.1117, y -13.4351, yaw -3.0936] vel: [v 0.0000, w 0.5000] estimate: [x 6.9176, y -15.0123, yaw -3.0352] encoder: [x -2.7521, y -13.5648, yaw -2.1250]
